19:07:40 INFO  manager.ApplicationManager - Tests start on Chrome
19:07:45 INFO  TestBase - Method registrationNegativeLastNameIsEmpty is started
19:07:45 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
19:07:50 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
19:07:50 INFO  manager.TestNgListener - Test starts registrationNegativeLastNameIsEmpty invoked
19:07:50 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Sign up ']
19:07:50 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Sign up '] is found
19:07:52 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
19:07:53 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
19:07:54 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='lastName']
19:07:54 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
19:07:54 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='email']
19:07:54 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='email'] is found
19:07:55 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='password']
19:07:55 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='password'] is found
19:07:56 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[text()=' Last name is required ']
19:07:56 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[text()=' Last name is required '] is found
19:07:56 INFO  manager.TestNgListener - Test registrationNegativeLastNameIsEmpty successful
19:07:56 INFO  TestBase - ================================
19:07:56 INFO  TestBase - Method registrationNegativeNameIsEmpty is started
19:07:56 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
19:08:01 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
19:08:01 INFO  manager.TestNgListener - Test starts registrationNegativeNameIsEmpty invoked
19:08:01 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Sign up ']
19:08:02 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Sign up '] is found
19:08:02 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
19:08:02 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
19:08:02 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
19:08:02 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
19:08:02 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
19:08:02 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
19:08:02 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='lastName']
